CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. Rating,Count of Rating
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.485294118,68
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.55,80
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.459016393,61
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.730337079,89
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.604166667,96
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.493975904,83
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.7,30
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.576923077,52
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.626373626,91
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.683333333,60
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.702702703,74
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.692307692,65
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.521739130,69
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.484848485,66
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.442622951,61
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,3.952380952,42
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.622641509,53
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.370967742,62
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.571428571,49
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.472222222,72
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.56,50
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.288888889,45
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.452380952,42
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.377049180,61
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.333333333,51
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.438596491,57
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.566265060,83
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.601851852,108
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.645569620,79
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.451923077,104
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.638095238,105
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.442477876,113
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.487603306,121
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.337209302,86
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.634615385,104
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.705882353,102
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.8,50
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.417525773,194
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.576576577,111
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.614285714,70
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.716666667,60
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.764705882,51
