CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RTN_SCORE,Count of RTN_SCORE
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.462686567,67
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.75,80
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.475409836,61
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.730337079,89
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.625,96
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.566265060,83
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.866666667,30
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.822222222,45
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.739130435,23
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.613636364,44
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.543478261,46
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.553846154,65
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.5,60
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.515151515,66
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.533333333,60
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.142857143,42
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.698113208,53
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.419354839,62
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.510204082,49
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.722222222,72
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.652173913,46
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,3.8,10
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.615384615,26
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.371428571,35
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.313725490,51
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.521739130,46
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.759036145,83
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.703703704,108
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.743589744,78
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.615384615,104
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.885714286,105
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.646017699,113
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.438016529,121
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.65,80
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.233333333,30
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.742857143,70
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.576923077,26
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.453608247,194
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.626373626,91
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.594202899,69
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.862068966,58
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.843137255,51
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.755102041,49
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.6875,64
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.582089552,67
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.545454545,88
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.737704918,61
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.818181818,22
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.689655172,29
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.703703704,27
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.710843373,83
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.448979592,49
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.594936709,79
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.931034483,58
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.753846154,65
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.733333333,75
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.838383838,99
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.903614458,83
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.666666667,12
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.761194030,67
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.76,25
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.688311688,77
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.722222222,54
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.592920354,113
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.702702703,74
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,4.547169811,53
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,4.563636364,55
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,4.593220339,59
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,4.420289855,69
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,4.315789474,76
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,4.25,64
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,4.682539683,63
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,4.560975610,82
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.208333333,24
