CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELINESS_RATING_SCORE,Count of TIMELINESS_RATING_SCORE
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.714285714,7
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3.352941176,17
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.142857143,14
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,2.8125,16
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,2.8,40
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3,25
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.181818182,11
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3.681818182,22
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.1875,16
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3.3125,16
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.142857143,21
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,2.833333333,30
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4,9
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3.5,8
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2018,NL,CE,4,16
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2018,NL,CE,3.571428571,14
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,3.72,25
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,3.303030303,33
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2018,NL,CE,3.208333333,24
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2018,NL,CE,4.2,10
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,January 2018,NL,CE,4.2,5
Richard Enright,IL044 GREGORY HYUNDAI,Prog,CE1,February 2018,NL,CE,3.714285714,7
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,January 2018,NL,CE,2.789473684,19
Richard Enright,IL073 MCGRATH CITY HYUNDAI,Prog,CE1,February 2018,NL,CE,2.875,24
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,January 2018,NL,CE,3.434782609,23
Richard Enright,IL080 GERALD HYUNDAI,Prog,CE1,February 2018,NL,CE,3.5625,16
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,1.923076923,13
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3,11
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.185185185,27
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.642857143,28
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.785714286,14
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.777777778,18
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.407407407,27
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.171428571,35
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.368421053,19
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.105263158,19
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.727272727,11
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.785714286,14
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,January 2018,NL,CE,2.933333333,30
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,February 2018,NL,CE,3,29
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,2.857142857,21
Non-Prog,IL081 HAPPY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3,24
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3.075,40
Non-Prog,IL082 NAPLETON'S VALLEY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.225806452,31
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,January 2018,NL,CE,4,4
Non-Prog,IL091 PHILLIPS HYUNDAI OF BRADLEY,Non-Prog,CE2,February 2018,NL,CE,3.5,4
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,3,7
Non-Prog,IN038 WEBB HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,3.833333333,6
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,January 2018,NL,CE,3,2
Non-Prog,IN045 WEBB HYUNDAI MERRILLVILLE,Non-Prog,CE2,February 2018,NL,CE,4.5,2
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.6,5
Non-Prog,IN007 BOB ROHRMAN HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.125,8
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.4,5
Non-Prog,IN018 BOB ROHRMAN INDY HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.625,8
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.222222222,9
Non-Prog,IN028 RAY SKILLMAN SOUTHSIDE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.166666667,6
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.571428571,7
Non-Prog,IN036 RAY SKILLMAN WESTSIDE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.636363636,11
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.5,2
Non-Prog,IN037 BOB POYNTER HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4,1
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,2.571428571,14
Non-Prog,IN043 TERRY LEE HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.15,20
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.428571429,7
Non-Prog,IN044 ANDY MOHR HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,4.5,8
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,2.5,4
Non-Prog,IN046 DELLEN HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.75,4
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.666666667,6
Non-Prog,IN047 RAY SKILLMAN AVON HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3,4
Non-Prog,IN048 NAPLETON HYUNDAI OF CARMEL,Non-Prog,CE3,January 2018,NL,CE,3.333333333,18
Non-Prog,IN048 NAPLETON HYUNDAI OF CARMEL,Non-Prog,CE3,February 2018,NL,CE,3.3125,16
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,4.25,8
Non-Prog,KY012 KERRY HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.5,6
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,January 2018,NL,CE,2.9375,16
Non-Prog,KY013 KERRY HYUNDAI OF FLORENCE,Non-Prog,CE3,February 2018,NL,CE,3.6875,16
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,January 2018,NL,CE,3.142857143,14
Non-Prog,OH001 SUPERIOR HYUNDAI NORTH,Non-Prog,CE3,February 2018,NL,CE,3.608695652,23
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,January 2018,NL,CE,3.230769231,26
Non-Prog,OH018 COLUMBIA HYUNDAI,Non-Prog,CE3,February 2018,NL,CE,3.433333333,30
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,January 2018,NL,CE,3.375,16
Non-Prog,OH046 SUPERIOR HYUNDAI SOUTH,Non-Prog,CE3,February 2018,NL,CE,2.681818182,22
Non-Prog,IN041 EVANSVILLE HYUNDAI,Non-Prog,CE4,January 2018,NL,CE,4,10
