CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. WREC_SCORE,Count of WREC_SCORE
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.897959184,49
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.882352941,68
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.925,80
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.868852459,61
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.943820225,89
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.927083333,96
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.879518072,83
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.966666667,30
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.942307692,52
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.860465116,43
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.878787879,66
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.901639344,61
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.761904762,42
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.943396226,53
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.870967742,62
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.857142857,49
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.916666667,72
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.9,50
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.965517241,87
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.927710843,83
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.925925926,108
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.924050633,79
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.923076923,104
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.980952381,105
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.920353982,113
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.876033058,121
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.883720930,86
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.931034483,58
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.928571429,70
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.966666667,60
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.980392157,51
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.959183673,49
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.921875,64
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.955223881,67
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.920454545,88
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.926470588,68
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.983333333,60
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.911392405,79
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,1,59
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.969230769,65
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.986842105,76
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,1,99
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.987951807,83
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.916666667,12
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.961038961,77
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.954545455,44
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.905660377,53
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.909090909,55
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.966666667,60
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.914285714,70
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.815789474,76
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.890625,64
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.968253968,63
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.880952381,84
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.913793103,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.921568627,51
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.936507937,63
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,1,45
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.978260870,46
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.954545455,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.948275862,58
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.935064935,77
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.916666667,60
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2017,NL,CE,0.969230769,65
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2017,NL,CE,1,89
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,March 2017,NL,CE,0.962962963,81
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,April 2017,NL,CE,0.947368421,76
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,May 2017,NL,CE,0.915492958,71
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,June 2017,NL,CE,0.958762887,97
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,July 2017,NL,CE,0.958904110,73
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,August 2017,NL,CE,0.923728814,118
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,September 2017,NL,CE,0.925,80
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.957983193,119
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.93,100
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.938271605,162
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.853211009,109
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.903225806,124
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.878172589,197
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.963235294,136
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,0.934010152,197
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.939759036,166
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2017,NL,CE,1,32
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2017,NL,CE,0.926829268,41
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,March 2017,NL,CE,0.914893617,47
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,April 2017,NL,CE,0.913043478,46
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,May 2017,NL,CE,0.934426230,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,June 2017,NL,CE,0.884615385,78
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,July 2017,NL,CE,0.885245902,61
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,August 2017,NL,CE,0.9,80
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,September 2017,NL,CE,0.869565217,69
