DEALER,DEALER PROGRAM,DIST,Measure Names,"Month, Year of Rpt Month_Cal",NATL,REGION CODE,2YMC Ret %,2ymc Den Ct,2ymc Num Ct
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.823308271,266,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.813148789,289,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.788961039,308,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.808022923,349,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.830985915,355,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.846774194,372,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.841558442,385,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.836021505,372,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.809116809,351,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.808441558,308,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.819112628,293,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.903474903,259,
IL003 LOREN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.906614786,257,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.785276074,326,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.813953488,344,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.791183295,431,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.807539683,504,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.750499002,501,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.758349705,509,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.757700205,487,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.773858921,482,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.763392857,448,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.746478873,426,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.764172336,441,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.798387097,372,
IL044 GREGORY HYUNDAI,Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.795252226,337,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.744604317,278,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.738410596,302,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.774086379,301,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.785340314,382,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.812658228,395,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.804210526,475,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.781312127,503,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.792060491,529,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.808333333,480,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.820197044,406,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.781491003,389,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.769863014,365,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.799426934,349,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.759183673,490,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.762478485,581,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.787461774,654,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.788170564,727,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.772661871,695,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.751336898,748,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.730523627,783,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.701960784,765,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.691977077,698,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.708206687,658,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.750390016,641,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.791095890,584,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.786948177,521,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2017,NL,CE,1.014900662,604,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.995081967,610,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.959752322,646,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.957063712,722,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.924802111,758,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.907862408,814,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.926157697,799,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.949668874,755,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.986956522,690,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.963246554,653,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.996794872,624,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.984210526,570,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.972972973,555,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.772264631,786,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.814379085,765,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.791208791,819,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.793176972,938,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.793650794,945,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.813417191,954,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.806382979,940,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.805309735,904,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.809317443,923,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,November 2017,NL,CE,0.819174757,824,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,December 2017,NL,CE,0.791519435,849,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,January 2018,NL,CE,0.827988338,686,
IL073 MCGRATH CITY HYUNDAI,Prog,CE1,2ymc Den Ct,February 2018,NL,CE,0.844175492,661,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,February 2017,NL,CE,0.856088561,271,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,March 2017,NL,CE,0.839393939,330,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,April 2017,NL,CE,0.847645429,361,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,May 2017,NL,CE,0.866161616,396,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,June 2017,NL,CE,0.870370370,378,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,July 2017,NL,CE,0.866161616,396,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,August 2017,NL,CE,0.832935561,419,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,September 2017,NL,CE,0.841346154,416,
IL076 WILKINS HYUNDAI,Non-Prog,CE1,2ymc Den Ct,October 2017,NL,CE,0.842931937,382,
