DEALER,DEALER PROGRAM,DIST,Measure Names,"Month, Year of Rpt Month_Cal",NATL,REGION CODE,Dlr Ret %,Brnd Den Ct,Brnd Num Ct
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.372148451,2937,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.375508820,2948,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.380386834,2947,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.378585724,2998,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.377875507,2956,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.382611637,2956,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.361759729,2955,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.358548168,2948,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.369668246,2954,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.361437689,2977,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.362255233,2962,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.366306550,2962,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.369932432,2960,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.683714002,2014,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.686011905,2016,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.696819085,2012,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.700540010,2037,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.704545455,2024,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.691212568,2037,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.627365357,2061,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.631937683,2054,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.628791526,2077,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.640915594,2097,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.616714697,2082,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.649494463,2077,
IL044 GREGORY HYUNDAI,Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.647143543,2083,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.299903335,4138,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.307932692,4160,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.315345700,4151,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.312816799,4143,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.308061420,4168,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.300741095,4183,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.297355254,4197,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.301493245,4219,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.299181287,4275,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.292974239,4270,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.284476703,4271,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.285747447,4308,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.279091331,4314,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.354084265,5815,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.353748499,5829,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.353052451,5815,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.353533629,5858,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.357999315,5838,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.360963938,5851,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,August 2017,NL,CE,0.357921635,5870,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,September 2017,NL,CE,0.360510638,5875,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,October 2017,NL,CE,0.312971454,6761,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,November 2017,NL,CE,0.312325547,6807,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,December 2017,NL,CE,0.298126567,6779,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,January 2018,NL,CE,0.325317203,6778,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2018,NL,CE,0.326664720,6848,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,February 2017,NL,CE,0.635756810,5543,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,March 2017,NL,CE,0.636462094,5540,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,April 2017,NL,CE,0.637235390,5527,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,May 2017,NL,CE,0.641683222,5537,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,June 2017,NL,CE,0.637388616,5499,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Brnd Den Ct,July 2017,NL,CE,0.635620915,5508,
