DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cproct,Cproct
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,501
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,487
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,448
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,487
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,544
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,518
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,564
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,481
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,520
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,533
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,557
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,464
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,-8.782435130%,457
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,14.579055441%,558
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,26.339285714%,566
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,12.731006160%,549
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,14.154411765%,621
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,8.108108108%,560
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,-62.588652482%,211
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,-1.039501040%,476
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,20.961538462%,629
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,1.500938086%,541
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,5.565529623%,588
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,25.215517241%,581
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,7.221006565%,490
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2016,,440
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2016,,466
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2016,,457
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2016,,441
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2016,,530
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2016,,530
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2016,,523
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2016,,428
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2016,,511
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2016,,437
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2016,,537
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2017,,430
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2017,-5.227272727%,417
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,March,NL,CE,2017,3.218884120%,481
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,April,NL,CE,2017,2.625820569%,469
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,May,NL,CE,2017,16.553287982%,514
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,June,NL,CE,2017,0.188679245%,531
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,July,NL,CE,2017,-8.113207547%,487
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,August,NL,CE,2017,-86.998087954%,68
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,September,NL,CE,2017,29.205607477%,553
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,October,NL,CE,2017,-1.761252446%,502
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,November,NL,CE,2017,9.382151030%,478
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,December,NL,CE,2017,-13.407821229%,465
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,January,NL,CE,2018,5.348837209%,453
IL044 GREGORY HYUNDAI,Prog,CE1,Cproct,February,NL,CE,2018,-11.990407674%,367
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,474
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,478
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2016,,432
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2016,,485
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2016,,505
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2016,,499
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2016,,531
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2016,,451
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2016,,561
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2016,,516
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2016,,548
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2017,,497
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2017,10.548523207%,524
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2017,21.338912134%,580
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,April,NL,CE,2017,12.731481481%,487
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,May,NL,CE,2017,-6.804123711%,452
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,June,NL,CE,2017,-2.376237624%,493
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,July,NL,CE,2017,-6.412825651%,467
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,August,NL,CE,2017,-17.514124294%,438
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,September,NL,CE,2017,-14.634146341%,385
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,October,NL,CE,2017,-24.777183601%,422
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,November,NL,CE,2017,-22.480620155%,400
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,December,NL,CE,2017,-24.087591241%,416
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,January,NL,CE,2018,-11.871227364%,438
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2018,-34.351145038%,344
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,February,NL,CE,2016,,664
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cproct,March,NL,CE,2016,,831
