DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Totalroct,Totalroct
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2016,,644
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2016,,650
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2016,,555
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2016,,653
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2016,,711
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2016,,672
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2016,,762
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2016,,618
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2016,,613
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2016,,796
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2016,,692
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2017,,583
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2017,-6.832298137%,600
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2017,4%,676
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2017,22.162162162%,678
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2017,2.603369066%,670
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2017,0.703234880%,716
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2017,3.869047619%,698
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2017,-58.267716535%,318
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2017,-6.148867314%,580
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2017,21.696574225%,746
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2017,-17.336683417%,658
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2017,-3.179190751%,670
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2018,9.605488851%,639
IL003 LOREN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2018,-4%,576
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,February,NL,CE,2016,,733
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,March,NL,CE,2016,,766
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,April,NL,CE,2016,,789
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,May,NL,CE,2016,,789
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,June,NL,CE,2016,,884
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,July,NL,CE,2016,,846
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,August,NL,CE,2016,,933
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,September,NL,CE,2016,,750
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,October,NL,CE,2016,,843
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,November,NL,CE,2016,,785
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,December,NL,CE,2016,,915
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,January,NL,CE,2017,,767
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,February,NL,CE,2017,-0.682128240%,728
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,March,NL,CE,2017,-4.177545692%,734
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,April,NL,CE,2017,0.506970849%,793
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,May,NL,CE,2017,9.125475285%,861
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,June,NL,CE,2017,2.828054299%,909
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,July,NL,CE,2017,-6.382978723%,792
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,August,NL,CE,2017,-70.096463023%,279
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,September,NL,CE,2017,30.933333333%,982
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,October,NL,CE,2017,-0.830367734%,836
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,November,NL,CE,2017,9.554140127%,860
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,December,NL,CE,2017,-12.240437158%,803
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,January,NL,CE,2018,1.434159061%,778
IL044 GREGORY HYUNDAI,Prog,CE1,Totalroct,February,NL,CE,2018,-11.401098901%,645
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2016,,699
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2016,,676
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2016,,585
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2016,,658
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2016,,750
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2016,,793
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2016,,915
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2016,,704
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2016,,779
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2016,,795
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2016,,850
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2017,,853
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2017,66.523605150%,1164
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2017,63.017751479%,1102
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2017,55.042735043%,907
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2017,25.987841945%,829
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2017,14.666666667%,860
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2017,-3.278688525%,767
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2017,-4.153005464%,877
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2017,13.920454545%,802
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2017,6.033376123%,826
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2017,6.666666667%,848
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2017,-9.882352941%,766
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2018,-6.565064478%,797
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2018,-47.250859107%,614
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2016,,1235
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2016,,1459
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2016,,1303
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2016,,1410
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2016,,1448
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2016,,1282
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2016,,1453
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2016,,1443
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2016,,1306
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2016,,1358
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2016,,1386
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2017,,1206
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2017,3.724696356%,1281
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2017,-3.427004798%,1409
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2017,-1.765157329%,1280
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2017,-2.269503546%,1378
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2017,-5.248618785%,1372
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2017,3.666146646%,1329
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2017,12.663454921%,1637
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2017,21.413721414%,1752
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2017,8.422664625%,1416
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,November,NL,CE,2017,7.879234168%,1465
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,December,NL,CE,2017,5.339105339%,1460
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,January,NL,CE,2018,35.157545605%,1630
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2018,26.463700234%,1620
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,February,NL,CE,2016,,1839
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,March,NL,CE,2016,,1840
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,April,NL,CE,2016,,1698
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,May,NL,CE,2016,,1732
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,June,NL,CE,2016,,1881
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,July,NL,CE,2016,,1808
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,August,NL,CE,2016,,2006
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,September,NL,CE,2016,,1903
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Totalroct,October,NL,CE,2016,,1744
