CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. RECO_BRAND_SCORE,Count of RECO_BRAND_SCORE
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.739130435,23
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.75,44
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.565217391,46
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.523076923,65
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.483333333,60
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.857142857,7
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.5,32
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.875,16
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.704918033,61
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.794871795,39
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,3.6,10
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.615384615,26
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.342857143,35
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.352941176,51
Non-Prog,IL054 GURNEE HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.456521739,46
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.3,30
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.685714286,70
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.538461538,26
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.438144330,194
Non-Prog,IL068 ELGIN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.714285714,91
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.863636364,22
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.655172414,29
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.666666667,27
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.674698795,83
Non-Prog,IL069 PATRICK HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.367346939,49
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.580645161,31
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.627118644,59
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.480769231,52
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.366972477,109
Non-Prog,IL073 MCGRATH CITY HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.441176471,68
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.72,25
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.688311688,77
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.592592593,54
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.619469027,113
Non-Prog,IL076 WILKINS HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.675675676,74
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.083333333,24
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.181818182,44
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.441860465,43
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.546296296,108
Non-Prog,IL077 GROSSINGER HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.590476190,105
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.695652174,23
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.866666667,30
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.730769231,26
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.636363636,66
Non-Prog,IL079 KNAUZ HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.707317073,41
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.6875,32
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.722222222,108
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.720930233,86
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.665178571,224
Non-Prog,IL080 GERALD HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.785046729,107
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,October 2017,NL,CE,4.629629630,27
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,November 2017,NL,CE,4.633333333,60
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,December 2017,NL,CE,4.605263158,38
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,January 2018,NL,CE,4.659574468,94
Non-Prog,IL085 AUTONATION HYUNDAI O'HARE,Non-Prog,CE1,February 2018,NL,CE,4.625,72
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,4.555555556,36
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,4.594936709,79
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,4.722222222,72
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,4.633093525,139
Non-Prog,IL087 ROSEN HYUNDAI,Non-Prog,CE1,February 2018,NL,CE,4.521739130,92
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,October 2017,NL,CE,4.4,15
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,November 2017,NL,CE,4.375,40
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,December 2017,NL,CE,4.704545455,44
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,January 2018,NL,CE,4.375,88
Non-Prog,IL089 GROSSINGER HYUNDAI PALATINE,Non-Prog,CE1,February 2018,NL,CE,4.777777778,54
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.5,18
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.5,36
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.424242424,33
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.397058824,68
Non-Prog,IL051 ROGERS HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.4,35
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.733333333,45
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.629032258,124
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.832,125
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.752173913,230
Non-Prog,IL052 PUGI HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.693693694,111
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.794871795,39
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.787234043,94
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.767123288,73
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.778947368,190
Non-Prog,IL059 D'ARCY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.782178218,101
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.666666667,45
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.651515152,132
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.631147541,122
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.696850394,254
Non-Prog,IL063 FAMILY HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.698717949,156
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.661290323,62
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.577464789,71
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.657142857,70
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.630769231,130
Non-Prog,IL066 ETTLESON HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.706521739,92
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,October 2017,NL,CE,4.875,8
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,November 2017,NL,CE,4.241379310,29
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,December 2017,NL,CE,4.526315789,19
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,January 2018,NL,CE,4.542372881,59
Non-Prog,IL071 NAPLETON'S HYUNDAI,Non-Prog,CE2,February 2018,NL,CE,4.566666667,30
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,October 2017,NL,CE,3.923076923,26
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,November 2017,NL,CE,4.453125,64
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,December 2017,NL,CE,4.591836735,49
Non-Prog,IL072 WORLD HYUNDAI MATTESON,Non-Prog,CE2,January 2018,NL,CE,4.503703704,135
