CONSULTANT,DEALER,DEALER PROGRAM,DIST,"Month, Year of SurveyDate",NATL,REGION CODE,Avg. TIMELY_SCORE,Count of TIMELY_SCORE
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.958333333,48
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.940298507,67
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.95,80
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,0.950819672,61
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.977528090,89
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.90625,96
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.855421687,83
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,1,30
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.911111111,45
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,0.916666667,24
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,November 2017,NL,CE,0.982456140,57
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,December 2017,NL,CE,0.959459459,74
Non-Prog,IL003 LOREN HYUNDAI,Non-Prog,CE1,January 2018,NL,CE,0.923076923,13
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,January 2017,NL,CE,0.961038961,77
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,February 2017,NL,CE,0.980769231,52
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,March 2017,NL,CE,0.964285714,56
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,April 2017,NL,CE,1,41
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,May 2017,NL,CE,0.913043478,46
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,June 2017,NL,CE,0.964285714,56
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,July 2017,NL,CE,0.982142857,56
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,August 2017,NL,CE,1,7
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,September 2017,NL,CE,0.941176471,68
Non-Prog,IL044 GREGORY HYUNDAI,Non-Prog,CE1,October 2017,NL,CE,1,7
