DEALER,DEALER PROGRAM,DIST,Measure Names,"Month, Year of Rpt Month_Cal",NATL,REGION CODE,Gr Profit - CP,Cp Gross,Cp Sales
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,February 2017,NL,CE,0.706560302,33657,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,March 2017,NL,CE,0.706034771,33788,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,April 2017,NL,CE,0.713371007,31307,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,May 2017,NL,CE,0.708850761,32308,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,June 2017,NL,CE,0.682631992,31341,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,July 2017,NL,CE,0.724948359,31586,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,August 2017,NL,CE,0.948208213,7250,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,September 2017,NL,CE,0.718189296,27939,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,October 2017,NL,CE,0.645769810,35157,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,November 2017,NL,CE,0.753749185,31212,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,December 2017,NL,CE,0.677169045,26006,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,January 2018,NL,CE,0.656167109,23748,
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cp Gross,February 2018,NL,CE,0.646573604,20380,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,February 2017,NL,CE,0.598975358,25838,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,March 2017,NL,CE,0.598317337,33851,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,April 2017,NL,CE,0.605671343,32722,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,May 2017,NL,CE,0.598727579,31244,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,June 2017,NL,CE,0.624498106,33129,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,July 2017,NL,CE,0.624834899,33115,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,August 2017,NL,CE,0.564035223,3651,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,September 2017,NL,CE,0.619340916,41328,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,October 2017,NL,CE,0.620802816,39159,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,November 2017,NL,CE,0.606037599,33526,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,December 2017,NL,CE,0.655560615,41752,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,January 2018,NL,CE,0.659908260,34240,
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cp Gross,February 2018,NL,CE,0.677456182,30264,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,February 2017,NL,CE,0.659643187,34312,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,March 2017,NL,CE,0.635462951,33609,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,April 2017,NL,CE,0.704597283,42638,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,May 2017,NL,CE,0.696802293,36957,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,June 2017,NL,CE,0.695426890,41606,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,July 2017,NL,CE,0.738641008,43373,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,August 2017,NL,CE,0.707327569,36160,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,September 2017,NL,CE,0.748106061,31995,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,October 2017,NL,CE,0.717036894,37121,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,November 2017,NL,CE,0.750003252,57664,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,December 2017,NL,CE,0.730608679,45156,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,January 2018,NL,CE,0.713435051,39418,
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cp Gross,February 2018,NL,CE,0.735523078,29290,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,February 2017,NL,CE,0.669309306,45758,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,March 2017,NL,CE,0.654493414,49392,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,April 2017,NL,CE,0.650373010,52569,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,May 2017,NL,CE,0.664563014,45175,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,June 2017,NL,CE,0.689058729,56529,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,July 2017,NL,CE,0.706397504,55253,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,August 2017,NL,CE,0.676059956,44743,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,September 2017,NL,CE,0.687002653,43771,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,October 2017,NL,CE,0.670166923,54120,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,November 2017,NL,CE,0.635827021,45241,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,December 2017,NL,CE,0.638541593,35955,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,January 2018,NL,CE,0.601902612,44796,
IL068 ELGIN HYUNDAI,Non-Prog,CE1,Cp Gross,February 2018,NL,CE,0.630722706,39002,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,February 2017,NL,CE,0.662307571,75462,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,March 2017,NL,CE,0.670502327,92648,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,April 2017,NL,CE,0.679289150,80347,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,May 2017,NL,CE,0.680097282,91722,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,June 2017,NL,CE,0.659370279,76814,
IL069 PATRICK HYUNDAI,Non-Prog,CE1,Cp Gross,July 2017,NL,CE,0.701510492,77559,
