DEALER,DEALER PROGRAM,DIST,Measure Names,Month of Rpt Month_Cal,NATL,REGION CODE,Year of Rpt Month_Cal,% Difference in Cpdol,Cpdol
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,85201.64
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,87905.33
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,84082.52
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,77939.2
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,96047.31
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,88545.67
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,103822.44
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,102739.63
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,86653.72
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,87028.24
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,99550.88
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,75979.41
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-14.824609010%,72570.83
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-14.359732226%,75282.36
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-8.718910898%,76751.44
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-2.912167433%,75669.48
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-23.089319212%,73870.64
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,-17.311823379%,73216.8
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,-74.982325594%,25973.96
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,-31.523084130%,70352.93
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,6.717795843%,92474.94
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,-3.008632600%,84409.88
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-23.890547226%,75767.63
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,-10.067767044%,68329.98
IL003 LOREN HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,-15.208700245%,61533.75
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,101065.05
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,112453.36
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,106480.77
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,97181.54
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,116067.46
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,115989.89
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,119190.33
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,76186
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,104463.58
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,94277.49
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,109708.22
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,106726.73
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-17.272192514%,83608.9
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-4.321942893%,107593.19
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-2.573459978%,103740.53
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,9.205544592%,106127.63
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-6.988780490%,107955.76
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,-15.358631688%,98175.43
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2017,-82.279510427%,21121.11
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2017,61.736631402%,123220.67
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2017,12.938652878%,117979.76
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2017,16.398357657%,109737.45
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2017,-1.344056079%,108233.68
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2018,-4.736142483%,101672
IL044 GREGORY HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2018,-2.178763266%,81787.26
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2016,,93218.95
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2016,,110916.49
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2016,,98266.86
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2016,,113071.65
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2016,,105838.33
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2016,,90675.29
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,August,NL,CE,2016,,90374.11
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,September,NL,CE,2016,,78052.64
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,October,NL,CE,2016,,80745.48
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,November,NL,CE,2016,,84780.43
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,December,NL,CE,2016,,97984.92
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,January,NL,CE,2017,,82149.14
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,February,NL,CE,2017,-5.888309190%,87729.93
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,March,NL,CE,2017,-23.257921342%,85119.62
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,April,NL,CE,2017,-2.249873457%,96055.98
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,May,NL,CE,2017,-25.392041241%,84360.45
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,June,NL,CE,2017,-7.792139199%,97591.26
IL054 GURNEE HYUNDAI,Non-Prog,CE1,Cpdol,July,NL,CE,2017,4.125489976%,94416.09
