DlrCd,Start,End,Interval
AL009,201312,201606,Certified
AL022,201711,201809,Certified
AL027,201412,201503,Certified
AL028,201411,201502,Certified
AL029,201605,201704,Certified
AR026,201603,201706,Certified
AR028,201307,201605,Certified
AR029,201307,201507,Certified
AR034,201307,201504,Certified
AR035,201307,201605,Certified
AR036,201604,201707,Certified
AZ019,201311,201504,Certified
AZ028,201302,201503,Certified
AZ032,201710,201805,Certified
AZ035,201303,201508,Certified
AZ042,201305,201504,Certified
AZ043,201406,201504,Certified
AZ046,201403,201504,Certified
AZ047,201411,201602,Certified
AZ048,201601,201809,Certified
AZ050,201707,201809,Certified
CA172,201508,201809,Certified
CA197,201506,201603,Certified
CA232,201212,201604,Certified
CA273,201707,201805,Certified
CA282,201305,201504,Certified
CA296,201508,201809,Certified
CA303,201507,201809,Certified
CA304,201212,201501,Certified
CA309,201508,201603,Certified
CA314,201510,201809,Certified
CA315,201511,201809,Certified
CA317,201511,201607,Certified
CA320,201302,201509,Certified
CA321,201211,201511,Certified
CA323,201306,201601,Certified
CA324,201612,201809,Certified
CA325,201306,201502,Certified
CA329,201303,201501,Certified
CA334,201411,201506,Certified
CA335,201609,201609,Certified
CA339,201511,201809,Certified
CA342,201512,201602,Certified
CA350,201508,201809,Certified
CA352,201508,201605,Certified
CA355,201510,201809,Certified
CA357,201209,201502,Certified
CA358,201608,201809,Certified
CA359,201702,201809,Certified
CA360,201607,201809,Certified
CA361,201602,201809,Certified
CA366,201601,201706,Certified
CA368,201606,201704,Certified
CA369,201712,201809,Certified
CA375,201208,201803,Certified
CA376,201612,201801,Certified
CA377,201310,201807,Certified
CA379,201303,201806,Certified
CO025,201308,201507,Certified
CO032,201410,201507,Certified
CO034,201303,201507,Certified
CO049,201507,201809,Certified
CT007,201509,201606,Certified
CT012,201305,201506,Certified
CT018,201310,201809,Certified
CT020,201401,201809,Certified
CT022,201312,201611,Certified
CT023,201506,201809,Certified
CT028,201602,201709,Certified
CT029,201709,201803,Certified
CT032,201710,201805,Certified
CT033,201709,201803,Certified
CT034,201506,201604,Certified
CT038,201405,201703,Certified
DE008,201411,201809,Certified
FL002,201312,201809,Certified
FL005,201211,201501,Certified
FL008,201508,201806,Certified
FL049,201411,201504,Certified
FL057,201602,201809,Certified
FL062,201404,201605,Certified
FL073,201703,201803,Certified
FL074,201711,201809,Certified
FL076,201301,201605,Certified
FL080,201303,201503,Certified
FL081,201405,201502,Certified
FL088,201401,201502,Certified
FL089,201304,201501,Certified
FL098,201407,201503,Certified
FL101,201509,201809,Certified
FL103,201408,201504,Certified
FL108,201210,201607,Certified
FL109,201711,201808,Certified
FL110,201310,201809,Certified
FL112,201707,201805,Certified
FL114,201211,201501,Certified
FL117,201210,201607,Certified
FL118,201606,201712,Certified
FL120,201304,201501,Certified
FL121,201310,201501,Certified
FL122,201705,201807,Certified
FL123,201607,201705,Certified
FL124,201309,201510,Certified
FL125,201703,201806,Certified
FL127,201309,201611,Certified
FL128,201509,201602,Certified
FL130,201604,201702,Certified
FL131,201508,201603,Certified
FL135,201707,201803,Certified
FL137,201512,201609,Certified
FL138,201507,201603,Certified
FL140,201407,201707,Certified
FL141,201712,201809,Certified
GA002,201302,201610,Certified
GA003,201211,201609,Certified
GA015,201712,201808,Certified
GA026,201409,201611,Certified
GA029,201610,201809,Certified
GA035,201406,201609,Certified
GA037,201211,201601,Certified
GA038,201211,201608,Certified
GA041,201710,201804,Certified
GA065,201310,201701,Certified
GA068,201508,201809,Certified
GA070,201610,201710,Certified
GA071,201501,201609,Certified
GA075,201508,201701,Certified
GA076,201306,201611,Certified
GA077,201809,201809,Certified
GA078,201809,201809,Certified
GA079,201508,201805,Certified
HI012,201506,201809,Certified
HI016,201509,201809,Certified
IA016,201511,201604,Certified
IL003,201402,201809,Certified
IL014,201404,201510,Certified
IL044,201809,201809,Certified
IL052,201210,201602,Certified
IL063,201303,201601,Certified
IL068,201411,201510,Certified
IL069,201304,201602,Certified
IL073,201210,201501,Certified
IL081,201210,201511,Certified
IL082,201802,201809,Certified
IL087,201212,201511,Certified
IL090,201708,201804,Certified
IL091,201809,201809,Certified
IL092,201809,201809,Certified
IL093,201405,201809,Certified
IL094,201408,201801,Certified
IN013,201504,201604,Certified
IN043,201607,201704,Certified
IN048,201704,201803,Certified
IN049,201805,201809,Certified
KS003,201511,201703,Certified
KS013,201511,201703,Certified
KS015,201410,201510,Certified
KS016,201809,201809,Certified
KY006,201611,201809,Certified
