DlrCd,Start,End,Interval
AL009,201606,201809,postSA
AL022,201809,201809,postSA
AL027,201503,201809,postSA
AL028,201502,201809,postSA
AL029,201704,201809,postSA
AR026,201706,201809,postSA
AR028,201605,201809,postSA
AR029,201507,201809,postSA
AR034,201504,201809,postSA
AR035,201605,201809,postSA
AR036,201707,201809,postSA
AZ019,201504,201809,postSA
AZ028,201503,201809,postSA
AZ032,201805,201809,postSA
AZ035,201508,201809,postSA
AZ042,201504,201809,postSA
AZ043,201504,201809,postSA
AZ046,201504,201809,postSA
AZ047,201602,201809,postSA
CA197,201603,201809,postSA
CA232,201604,201809,postSA
CA273,201805,201809,postSA
CA282,201504,201809,postSA
CA304,201501,201809,postSA
CA309,201603,201809,postSA
CA317,201607,201809,postSA
CA320,201509,201809,postSA
CA321,201511,201809,postSA
CA323,201601,201809,postSA
CA325,201502,201809,postSA
CA329,201501,201809,postSA
CA334,201506,201809,postSA
CA335,201609,201809,postSA
CA342,201602,201809,postSA
CA352,201605,201809,postSA
CA357,201502,201809,postSA
CA360,201809,201809,postSA
CA366,201706,201809,postSA
CA368,201704,201809,postSA
CA369,201809,201809,postSA
CA375,201803,201809,postSA
CA376,201801,201809,postSA
CA377,201807,201809,postSA
CA379,201806,201809,postSA
CO025,201507,201809,postSA
CO032,201507,201809,postSA
CO034,201507,201809,postSA
CO049,201809,201809,postSA
CT007,201606,201809,postSA
CT012,201506,201809,postSA
CT022,201611,201809,postSA
CT028,201709,201809,postSA
CT029,201803,201809,postSA
CT032,201805,201809,postSA
CT033,201803,201809,postSA
CT034,201604,201809,postSA
CT038,201703,201809,postSA
FL005,201501,201809,postSA
FL008,201806,201809,postSA
FL049,201504,201809,postSA
FL062,201605,201809,postSA
FL073,201803,201809,postSA
FL074,201809,201809,postSA
FL076,201605,201809,postSA
FL080,201503,201809,postSA
FL081,201502,201809,postSA
FL088,201502,201809,postSA
FL089,201501,201809,postSA
FL098,201503,201809,postSA
FL103,201504,201809,postSA
FL108,201607,201809,postSA
FL109,201808,201809,postSA
FL112,201805,201809,postSA
FL114,201501,201809,postSA
FL117,201607,201809,postSA
FL118,201712,201809,postSA
FL120,201501,201809,postSA
FL121,201501,201809,postSA
FL122,201807,201809,postSA
FL123,201705,201809,postSA
FL124,201510,201809,postSA
FL125,201806,201809,postSA
FL127,201611,201809,postSA
FL128,201602,201809,postSA
FL130,201702,201809,postSA
FL131,201603,201809,postSA
FL135,201803,201809,postSA
FL137,201609,201809,postSA
FL138,201603,201809,postSA
FL140,201707,201809,postSA
GA002,201610,201809,postSA
GA003,201609,201809,postSA
GA015,201808,201809,postSA
GA026,201611,201809,postSA
GA035,201609,201809,postSA
GA037,201601,201809,postSA
GA038,201608,201809,postSA
GA041,201804,201809,postSA
GA065,201701,201809,postSA
GA070,201710,201809,postSA
GA071,201609,201809,postSA
GA075,201701,201809,postSA
GA076,201611,201809,postSA
GA078,201809,201809,postSA
GA079,201805,201809,postSA
IA016,201604,201809,postSA
IL014,201510,201809,postSA
IL044,201809,201809,postSA
IL052,201602,201809,postSA
IL063,201601,201809,postSA
IL068,201510,201809,postSA
IL069,201602,201809,postSA
IL073,201501,201809,postSA
IL081,201511,201809,postSA
IL082,201809,201809,postSA
IL087,201511,201809,postSA
IL090,201804,201809,postSA
IL091,201809,201809,postSA
IL093,201809,201809,postSA
IL094,201801,201809,postSA
IN013,201604,201809,postSA
IN043,201704,201809,postSA
IN048,201803,201809,postSA
IN049,201809,201809,postSA
KS003,201703,201809,postSA
KS013,201703,201809,postSA
KS015,201510,201809,postSA
KY018,201708,201809,postSA
KY029,201809,201809,postSA
KY031,201605,201809,postSA
KY032,201809,201809,postSA
LA009,201505,201809,postSA
LA026,201705,201809,postSA
LA027,201705,201809,postSA
LA032,201704,201809,postSA
LA033,201507,201809,postSA
MA021,201505,201809,postSA
MA034,201504,201809,postSA
MA040,201604,201809,postSA
MA043,201505,201809,postSA
MA044,201805,201809,postSA
MA046,201709,201809,postSA
MA051,201504,201809,postSA
MA053,201609,201809,postSA
MA055,201504,201809,postSA
MA056,201509,201809,postSA
MA058,201809,201809,postSA
MA061,201504,201809,postSA
MA062,201806,201809,postSA
MA063,201710,201809,postSA
MA064,201709,201809,postSA
MA065,201809,201809,postSA
MD006,201512,201809,postSA
MD008,201602,201809,postSA
MD017,201507,201809,postSA
MD020,201601,201809,postSA
MD021,201505,201809,postSA
MD025,201806,201809,postSA
MD026,201809,201809,postSA
MD028,201512,201809,postSA
MD030,201503,201809,postSA
MD034,201601,201809,postSA
MD035,201809,201809,postSA
MD036,201804,201809,postSA
MD038,201503,201809,postSA
MD041,201707,201809,postSA
MD043,201503,201809,postSA
MI031,201602,201809,postSA
MI034,201801,201809,postSA
MN021,201602,201809,postSA
MN027,201712,201809,postSA
MN028,201804,201809,postSA
MO016,201603,201809,postSA
MO045,201705,201809,postSA
MO046,201806,201809,postSA
MS022,201604,201809,postSA
MS038,201702,201809,postSA
NC008,201705,201809,postSA
NC028,201804,201809,postSA
NC030,201602,201809,postSA
NC038,201605,201809,postSA
NC041,201706,201809,postSA
NC047,201603,201809,postSA
NC064,201805,201809,postSA
NC065,201605,201809,postSA
NC066,201604,201809,postSA
NE011,201701,201809,postSA
NH006,201612,201809,postSA
NH012,201710,201809,postSA
NJ005,201809,201809,postSA
NJ025,201603,201809,postSA
NJ032,201505,201809,postSA
