DlrCd,Start,End,Interval
AL009,201309,201312,Installed
AL022,201701,201711,Installed
AL027,201409,201412,Installed
AL028,201407,201411,Installed
AL029,201510,201605,Installed
AR026,201511,201603,Installed
AR028,201303,201307,Installed
AR029,201303,201307,Installed
AR034,201303,201307,Installed
AR035,201303,201307,Installed
AR036,201604,201604,Installed
AZ019,201310,201311,Installed
AZ028,201302,201302,Installed
AZ032,201710,201710,Installed
AZ035,201303,201303,Installed
AZ042,201305,201305,Installed
AZ043,201406,201406,Installed
AZ046,201312,201403,Installed
AZ047,201410,201411,Installed
AZ048,201512,201601,Installed
AZ050,201705,201707,Installed
CA172,201505,201508,Installed
CA197,201506,201506,Installed
CA232,201208,201212,Installed
CA273,201611,201707,Installed
CA282,201305,201305,Installed
CA296,201507,201508,Installed
CA303,201504,201507,Installed
CA304,201208,201212,Installed
CA309,201505,201508,Installed
CA314,201506,201510,Installed
CA315,201504,201511,Installed
CA317,201503,201511,Installed
CA320,201208,201302,Installed
CA321,201209,201211,Installed
CA323,201306,201306,Installed
CA324,201612,201612,Installed
CA325,201209,201306,Installed
CA329,201302,201303,Installed
CA334,201409,201411,Installed
CA335,201412,201609,Installed
CA339,201504,201511,Installed
CA342,201503,201512,Installed
CA350,201504,201508,Installed
CA352,201412,201508,Installed
CA355,201503,201510,Installed
CA357,201209,201209,Installed
CA358,201608,201608,Installed
CA359,201702,201702,Installed
CA360,201412,201607,Installed
CA361,201511,201602,Installed
CA366,201512,201601,Installed
CA368,201306,201606,Installed
CA369,201711,201712,Installed
CA375,201208,201208,Installed
CA376,201611,201612,Installed
CA377,201310,201310,Installed
CA379,201303,201303,Installed
CO025,201301,201308,Installed
CO032,201409,201410,Installed
CO034,201303,201303,Installed
CO049,201410,201507,Installed
CT007,201507,201509,Installed
CT012,201305,201305,Installed
CT018,201309,201310,Installed
CT020,201310,201401,Installed
CT022,201312,201312,Installed
CT023,201412,201506,Installed
CT028,201512,201602,Installed
CT029,201704,201709,Installed
CT032,201707,201710,Installed
CT033,201704,201709,Installed
CT034,201505,201506,Installed
CT038,201405,201405,Installed
DE008,201411,201411,Installed
FL002,201312,201312,Installed
FL005,201211,201211,Installed
FL008,201412,201508,Installed
FL049,201411,201411,Installed
FL057,201512,201602,Installed
FL062,201404,201404,Installed
FL073,201703,201703,Installed
FL074,201711,201711,Installed
FL076,201210,201301,Installed
FL080,201211,201303,Installed
FL081,201405,201405,Installed
FL088,201310,201401,Installed
FL089,201211,201304,Installed
FL098,201407,201407,Installed
FL101,201509,201509,Installed
FL103,201408,201408,Installed
FL108,201208,201210,Installed
FL109,201711,201711,Installed
FL110,201306,201310,Installed
FL112,201707,201707,Installed
FL114,201211,201211,Installed
FL117,201208,201210,Installed
FL118,201606,201606,Installed
FL120,201211,201304,Installed
FL121,201309,201310,Installed
FL122,201705,201705,Installed
FL123,201607,201607,Installed
FL124,201306,201309,Installed
FL125,201703,201703,Installed
FL127,201306,201309,Installed
FL128,201412,201509,Installed
FL130,201602,201604,Installed
FL131,201412,201508,Installed
FL135,201707,201707,Installed
FL137,201512,201512,Installed
FL138,201409,201507,Installed
FL140,201407,201407,Installed
FL141,201712,201712,Installed
GA002,201212,201302,Installed
GA003,201210,201211,Installed
GA015,201712,201712,Installed
GA026,201407,201409,Installed
GA029,201604,201610,Installed
GA035,201406,201406,Installed
GA037,201210,201211,Installed
GA038,201211,201211,Installed
GA041,201710,201710,Installed
GA065,201309,201310,Installed
GA068,201506,201508,Installed
GA070,201604,201610,Installed
GA071,201408,201501,Installed
GA075,201506,201508,Installed
GA076,201302,201306,Installed
GA077,201706,190001,Installed
GA078,201804,190001,Installed
GA079,201505,201508,Installed
HI012,201502,201506,Installed
HI016,201506,201509,Installed
IA016,201412,201511,Installed
IL003,201308,201402,Installed
IL014,201307,201404,Installed
IL044,201410,190001,Installed
IL052,201207,201210,Installed
IL063,201302,201303,Installed
IL068,201411,201411,Installed
IL069,201302,201304,Installed
IL073,201207,201210,Installed
IL081,201207,201210,Installed
IL082,201305,201802,Installed
IL087,201207,201212,Installed
IL090,201706,201708,Installed
IL091,201403,190001,Installed
IL092,201712,190001,Installed
IL093,201310,201405,Installed
IL094,201408,201408,Installed
IN013,201411,201504,Installed
IN043,201509,201607,Installed
IN048,201404,201704,Installed
