DlrCd,Start,End,Interval
AL009,201803,201809,postSA
AL022,201809,201809,postSA
AL027,201804,201809,postSA
AL028,201809,201809,postSA
AL029,201804,201809,postSA
AR026,201801,201809,postSA
AR028,201803,201809,postSA
AR029,201802,201809,postSA
AR034,201803,201809,postSA
AR035,201803,201809,postSA
AR036,201804,201809,postSA
AZ019,201805,201809,postSA
AZ028,201802,201809,postSA
AZ032,201805,201809,postSA
AZ035,201806,201809,postSA
AZ042,201805,201809,postSA
AZ043,201808,201809,postSA
AZ046,201805,201809,postSA
AZ047,201802,201809,postSA
CA197,201803,201809,postSA
CA232,201805,201809,postSA
CA273,201805,201809,postSA
CA282,201802,201809,postSA
CA304,201809,201809,postSA
CA309,201809,201809,postSA
CA317,201805,201809,postSA
CA320,201804,201809,postSA
CA321,201803,201809,postSA
CA323,201809,201809,postSA
CA325,201801,201809,postSA
CA329,201801,201809,postSA
CA334,201804,201809,postSA
CA335,201801,201809,postSA
CA342,201804,201809,postSA
CA352,201801,201809,postSA
CA357,201803,201809,postSA
CA360,201809,201809,postSA
CA366,201803,201809,postSA
CA368,201801,201809,postSA
CA369,201809,201809,postSA
CA375,201803,201809,postSA
CA376,201801,201809,postSA
CA377,201807,201809,postSA
CA379,201806,201809,postSA
CO025,201808,201809,postSA
CO032,201805,201809,postSA
CO034,201805,201809,postSA
CO049,201809,201809,postSA
CT007,201805,201809,postSA
CT012,201806,201809,postSA
CT022,201801,201809,postSA
CT028,201809,201809,postSA
CT029,201803,201809,postSA
CT032,201805,201809,postSA
CT033,201803,201809,postSA
CT034,201802,201809,postSA
CT038,201804,201809,postSA
FL005,201809,201809,postSA
FL008,201806,201809,postSA
FL049,201805,201809,postSA
FL062,201801,201809,postSA
FL073,201803,201809,postSA
FL074,201809,201809,postSA
FL076,201805,201809,postSA
FL080,201809,201809,postSA
FL081,201803,201809,postSA
FL088,201803,201809,postSA
FL089,201802,201809,postSA
FL098,201809,201809,postSA
FL103,201804,201809,postSA
FL108,201804,201809,postSA
FL109,201808,201809,postSA
FL112,201805,201809,postSA
FL114,201805,201809,postSA
FL117,201809,201809,postSA
FL118,201803,201809,postSA
FL120,201809,201809,postSA
FL121,201805,201809,postSA
FL122,201807,201809,postSA
FL123,201805,201809,postSA
FL124,201804,201809,postSA
FL125,201806,201809,postSA
FL127,201809,201809,postSA
FL128,201809,201809,postSA
FL130,201803,201809,postSA
FL131,201809,201809,postSA
FL135,201803,201809,postSA
FL137,201809,201809,postSA
FL138,201809,201809,postSA
FL140,201803,201809,postSA
GA002,201808,201809,postSA
GA003,201809,201809,postSA
GA015,201808,201809,postSA
GA026,201808,201809,postSA
GA035,201809,201809,postSA
GA037,201804,201809,postSA
GA038,201809,201809,postSA
GA041,201804,201809,postSA
GA065,201805,201809,postSA
GA070,201808,201809,postSA
GA071,201801,201809,postSA
GA075,201808,201809,postSA
GA076,201808,201809,postSA
GA078,201809,201809,postSA
GA079,201805,201809,postSA
IA016,201804,201809,postSA
IL014,201809,201809,postSA
IL044,201809,201809,postSA
IL052,201801,201809,postSA
IL063,201803,201809,postSA
IL068,201801,201809,postSA
IL069,201803,201809,postSA
IL073,201803,201809,postSA
IL081,201803,201809,postSA
IL082,201809,201809,postSA
IL087,201805,201809,postSA
IL090,201804,201809,postSA
IL091,201809,201809,postSA
IL093,201809,201809,postSA
IL094,201801,201809,postSA
IN013,201802,201809,postSA
IN043,201801,201809,postSA
IN048,201803,201809,postSA
IN049,201809,201809,postSA
KS003,201806,201809,postSA
KS013,201806,201809,postSA
KS015,201802,201809,postSA
KY018,201802,201809,postSA
KY029,201809,201809,postSA
KY031,201803,201809,postSA
KY032,201809,201809,postSA
LA009,201809,201809,postSA
LA026,201803,201809,postSA
LA027,201803,201809,postSA
LA032,201805,201809,postSA
LA033,201809,201809,postSA
MA021,201803,201809,postSA
MA034,201803,201809,postSA
MA040,201804,201809,postSA
MA043,201801,201809,postSA
MA044,201805,201809,postSA
MA046,201806,201809,postSA
MA051,201803,201809,postSA
MA053,201809,201809,postSA
MA055,201804,201809,postSA
MA056,201803,201809,postSA
MA058,201809,201809,postSA
MA061,201808,201809,postSA
MA062,201806,201809,postSA
MA063,201805,201809,postSA
MA064,201808,201809,postSA
MA065,201809,201809,postSA
MD006,201807,201809,postSA
MD008,201804,201809,postSA
MD017,201809,201809,postSA
MD020,201801,201809,postSA
MD021,201802,201809,postSA
MD025,201806,201809,postSA
MD026,201809,201809,postSA
MD028,201801,201809,postSA
MD030,201802,201809,postSA
MD034,201804,201809,postSA
MD035,201809,201809,postSA
MD036,201804,201809,postSA
MD038,201802,201809,postSA
MD041,201801,201809,postSA
MD043,201805,201809,postSA
MI031,201805,201809,postSA
MI034,201801,201809,postSA
MN021,201801,201809,postSA
MN027,201804,201809,postSA
MN028,201804,201809,postSA
MO016,201803,201809,postSA
MO045,201804,201809,postSA
MO046,201806,201809,postSA
MS022,201801,201809,postSA
MS038,201803,201809,postSA
NC008,201805,201809,postSA
NC028,201804,201809,postSA
NC030,201804,201809,postSA
NC038,201808,201809,postSA
NC041,201801,201809,postSA
NC047,201804,201809,postSA
NC064,201805,201809,postSA
NC065,201809,201809,postSA
NC066,201805,201809,postSA
NE011,201802,201809,postSA
NH006,201805,201809,postSA
NH012,201809,201809,postSA
NJ005,201809,201809,postSA
NJ025,201803,201809,postSA
NJ032,201804,201809,postSA
NJ033,201806,201809,postSA
NJ034,201804,201809,postSA
NJ039,201809,201809,postSA
NJ045,201802,201809,postSA
NJ046,201801,201809,postSA
NJ047,201809,201809,postSA
NJ051,201803,201809,postSA
NJ056,201809,201809,postSA
NJ057,201804,201809,postSA
NM011,201803,201809,postSA
NM012,201803,201809,postSA
NV020,201801,201809,postSA
NV025,201803,201809,postSA
NV027,201803,201809,postSA
NV028,201808,201809,postSA
NY013,201804,201809,postSA
NY036,201804,201809,postSA
NY055,201809,201809,postSA
NY061,201806,201809,postSA
NY075,201801,201809,postSA
NY078,201806,201809,postSA
NY082,201803,201809,postSA
NY083,201805,201809,postSA
NY086,201804,201809,postSA
NY105,201803,201809,postSA
NY110,201809,201809,postSA
NY119,201802,201809,postSA
NY126,201802,201809,postSA
NY127,201802,201809,postSA
NY129,201804,201809,postSA
NY130,201801,201809,postSA
NY132,201809,201809,postSA
NY133,201809,201809,postSA
NY134,201804,201809,postSA
NY135,201809,201809,postSA
NY136,201801,201809,postSA
OH027,201801,201809,postSA
OH045,201802,201809,postSA
OH047,201805,201809,postSA
OH057,201801,201809,postSA
OH058,201803,201809,postSA
OH061,201803,201809,postSA
OK015,201803,201809,postSA
OK019,201809,201809,postSA
OK024,201803,201809,postSA
OK028,201804,201809,postSA
OR015,201801,201809,postSA
OR017,201807,201809,postSA
OR025,201809,201809,postSA
OR038,201806,201809,postSA
OR039,201806,201809,postSA
PA003,201807,201809,postSA
PA014,201809,201809,postSA
PA034,201804,201809,postSA
PA039,201804,201809,postSA
PA042,201809,201809,postSA
PA044,201809,201809,postSA
PA053,201804,201809,postSA
PA057,201804,201809,postSA
PA059,201809,201809,postSA
PA065,201809,201809,postSA
PA070,201809,201809,postSA
PA071,201808,201809,postSA
PA083,201809,201809,postSA
PA084,201803,201809,postSA
RI008,201804,201809,postSA
RI011,201805,201809,postSA
SC030,201809,201809,postSA
SC033,201805,201809,postSA
SC044,201803,201809,postSA
SC045,201809,201809,postSA
SC046,201809,201809,postSA
SC047,201809,201809,postSA
SD005,201804,201809,postSA
TN008,201806,201809,postSA
TN028,201802,201809,postSA
TN032,201804,201809,postSA
TN035,201804,201809,postSA
TN046,201805,201809,postSA
TN047,201802,201809,postSA
TN050,201806,201809,postSA
TN052,201805,201809,postSA
TX016,201809,201809,postSA
TX040,201808,201809,postSA
TX056,201805,201809,postSA
TX060,201809,201809,postSA
TX062,201803,201809,postSA
TX093,201809,201809,postSA
TX100,201805,201809,postSA
TX104,201808,201809,postSA
TX108,201803,201809,postSA
TX111,201809,201809,postSA
TX118,201807,201809,postSA
TX127,201805,201809,postSA
TX131,201806,201809,postSA
TX132,201809,201809,postSA
TX136,201801,201809,postSA
TX151,201808,201809,postSA
TX157,201804,201809,postSA
TX158,201801,201809,postSA
TX165,201809,201809,postSA
TX169,201809,201809,postSA
TX171,201807,201809,postSA
TX172,201804,201809,postSA
TX173,201802,201809,postSA
TX174,201809,201809,postSA
TX176,201803,201809,postSA
TX179,201805,201809,postSA
TX181,201808,201809,postSA
TX183,201809,201809,postSA
UT002,201806,201809,postSA
UT013,201802,201809,postSA
UT015,201802,201809,postSA
UT016,201804,201809,postSA
UT017,201804,201809,postSA
VA004,201809,201809,postSA
VA006,201801,201809,postSA
VA011,201809,201809,postSA
VA018,201802,201809,postSA
VA024,201809,201809,postSA
VA028,201801,201809,postSA
VA036,201809,201809,postSA
VA039,201805,201809,postSA
VA043,201803,201809,postSA
VA051,201803,201809,postSA
VT007,201807,201809,postSA
WA020,201804,201809,postSA
WA053,201809,201809,postSA
WA054,201808,201809,postSA
WI014,201801,201809,postSA
WI021,201805,201809,postSA
WI022,201801,201809,postSA
WI023,201801,201809,postSA
WI030,201804,201809,postSA
WI032,201804,201809,postSA
WI034,201803,201809,postSA
WI036,201809,201809,postSA
