DlrCd,Start,End,Interval
AK003,201509,201809,nonCCE
AL001,201509,201809,nonCCE
AL008,201509,201809,nonCCE
AL014,201509,201809,nonCCE
AL015,201509,201809,nonCCE
AL020,201509,201809,nonCCE
AL021,201509,201809,nonCCE
AL025,201509,201809,nonCCE
AL030,201509,201809,nonCCE
AL031,201509,201809,nonCCE
AL032,201509,201809,nonCCE
AL033,201509,201809,nonCCE
AR014,201509,201809,nonCCE
AR031,201509,201809,nonCCE
AR037,201509,201809,nonCCE
AR038,201509,201809,nonCCE
AV401,201509,201809,nonCCE
AV402,201509,201809,nonCCE
AV403,201509,201809,nonCCE
AZ003,201509,201809,nonCCE
AZ018,201509,201809,nonCCE
AZ020,201509,201809,nonCCE
AZ022,201509,201809,nonCCE
AZ031,201509,201809,nonCCE
AZ034,201509,201809,nonCCE
AZ036,201509,201809,nonCCE
AZ044,201509,201809,nonCCE
CA020,201509,201809,nonCCE
CA033,201509,201809,nonCCE
CA102,201509,201809,nonCCE
CA106,201509,201809,nonCCE
CA121,201509,201809,nonCCE
CA129,201509,201809,nonCCE
CA134,201509,201809,nonCCE
CA173,201509,201809,nonCCE
CA248,201509,201809,nonCCE
CA253,201509,201809,nonCCE
CA274,201509,201809,nonCCE
CA275,201509,201809,nonCCE
CA290,201509,201809,nonCCE
CA300,201509,201809,nonCCE
CA301,201509,201809,nonCCE
CA307,201509,201809,nonCCE
CA308,201509,201809,nonCCE
CA311,201509,201809,nonCCE
CA328,201509,201809,nonCCE
CA331,201509,201809,nonCCE
CA332,201509,201809,nonCCE
CA340,201509,201809,nonCCE
CA341,201509,201809,nonCCE
CA343,201509,201809,nonCCE
CA344,201509,201809,nonCCE
CA345,201509,201809,nonCCE
CA349,201509,201809,nonCCE
CA362,201509,201809,nonCCE
CA364,201509,201809,nonCCE
CA370,201509,201809,nonCCE
CA371,201509,201809,nonCCE
CA372,201509,201809,nonCCE
CA373,201509,201809,nonCCE
CA374,201509,201809,nonCCE
CA380,201509,201809,nonCCE
CA499,201509,201809,nonCCE
CE555,201509,201809,nonCCE
CF001,201509,201809,nonCCE
CF002,201509,201809,nonCCE
CF003,201509,201809,nonCCE
CF004,201509,201809,nonCCE
CF005,201509,201809,nonCCE
CF006,201509,201809,nonCCE
CF007,201509,201809,nonCCE
CF008,201509,201809,nonCCE
CF010,201509,201809,nonCCE
CF012,201509,201809,nonCCE
CF013,201509,201809,nonCCE
CO012,201509,201809,nonCCE
CO027,201509,201809,nonCCE
CO030,201509,201809,nonCCE
CO038,201509,201809,nonCCE
CO040,201509,201809,nonCCE
CO045,201509,201809,nonCCE
CO047,201509,201809,nonCCE
CO048,201509,201809,nonCCE
CO050,201509,201809,nonCCE
CO499,201509,201809,nonCCE
CT036,201509,201809,nonCCE
CT037,201509,201809,nonCCE
CT039,201509,201809,nonCCE
DE004,201509,201809,nonCCE
DE007,201509,201809,nonCCE
EA555,201509,201809,nonCCE
FL087,201509,201809,nonCCE
FL090,201509,201809,nonCCE
FL091,201509,201809,nonCCE
FL107,201509,201809,nonCCE
FL126,201509,201809,nonCCE
FL133,201509,201809,nonCCE
FL136,201509,201809,nonCCE
FL139,201509,201809,nonCCE
FL142,201509,201809,nonCCE
FL143,201509,201809,nonCCE
FL499,201509,201809,nonCCE
GA054,201509,201809,nonCCE
GA056,201509,201809,nonCCE
GA057,201509,201809,nonCCE
GA063,201509,201809,nonCCE
GA066,201509,201809,nonCCE
GA080,201509,201809,nonCCE
GA081,201509,201809,nonCCE
GA082,201509,201809,nonCCE
GA701,201509,201809,nonCCE
GA702,201509,201809,nonCCE
GA704,201509,201809,nonCCE
GA705,201509,201809,nonCCE
GA707,201509,201809,nonCCE
GA708,201509,201809,nonCCE
HI010,201509,201809,nonCCE
HI015,201509,201809,nonCCE
HI018,201509,201809,nonCCE
HI019,201509,201809,nonCCE
IA009,201509,201809,nonCCE
IA010,201509,201809,nonCCE
IA013,201509,201809,nonCCE
IA015,201509,201809,nonCCE
IA017,201509,201809,nonCCE
IA018,201509,201809,nonCCE
IA019,201509,201809,nonCCE
ID007,201509,201809,nonCCE
ID009,201509,201809,nonCCE
ID015,201509,201809,nonCCE
ID016,201509,201809,nonCCE
ID018,201509,201809,nonCCE
ID019,201509,201809,nonCCE
IL018,201509,201809,nonCCE
IL026,201509,201809,nonCCE
IL028,201509,201809,nonCCE
IL030,201509,201809,nonCCE
IL036,201509,201809,nonCCE
IL050,201509,201809,nonCCE
IL051,201509,201809,nonCCE
IL054,201509,201809,nonCCE
IL059,201509,201809,nonCCE
IL060,201509,201809,nonCCE
IL062,201509,201809,nonCCE
IL066,201509,201809,nonCCE
IL070,201509,201809,nonCCE
IL071,201509,201809,nonCCE
IL072,201509,201809,nonCCE
IL076,201509,201809,nonCCE
IL079,201509,201809,nonCCE
IL080,201509,201809,nonCCE
IL083,201509,201809,nonCCE
IL085,201509,201809,nonCCE
IL088,201509,201809,nonCCE
IN007,201509,201809,nonCCE
IN018,201509,201809,nonCCE
IN021,201509,201809,nonCCE
IN028,201509,201809,nonCCE
IN032,201509,201809,nonCCE
IN035,201509,201809,nonCCE
IN036,201509,201809,nonCCE
IN037,201509,201809,nonCCE
IN038,201509,201809,nonCCE
IN041,201509,201809,nonCCE
IN042,201509,201809,nonCCE
IN044,201509,201809,nonCCE
IN045,201509,201809,nonCCE
IN047,201509,201809,nonCCE
IN050,201509,201809,nonCCE
KS009,201509,201809,nonCCE
KS010,201509,201809,nonCCE
KS011,201509,201809,nonCCE
KS014,201509,201809,nonCCE
KY009,201509,201809,nonCCE
KY012,201509,201809,nonCCE
KY013,201509,201809,nonCCE
KY016,201509,201809,nonCCE
KY017,201509,201809,nonCCE
KY020,201509,201809,nonCCE
KY021,201509,201809,nonCCE
KY028,201509,201809,nonCCE
LA007,201509,201809,nonCCE
LA024,201509,201809,nonCCE
LA028,201509,201809,nonCCE
LA029,201509,201809,nonCCE
LA030,201509,201809,nonCCE
LA031,201509,201809,nonCCE
LA034,201509,201809,nonCCE
