DlrCd,Start,End,Interval
AL009,201109,201309,preInstall
AL022,201501,201701,preInstall
AL027,201209,201409,preInstall
AL028,201207,201407,preInstall
AL029,201310,201510,preInstall
AR026,201311,201511,preInstall
AR028,201103,201303,preInstall
AR029,201103,201303,preInstall
AR034,201103,201303,preInstall
AR035,201103,201303,preInstall
AR036,201404,201604,preInstall
AZ019,201110,201310,preInstall
AZ028,201102,201302,preInstall
AZ032,201510,201710,preInstall
AZ035,201103,201303,preInstall
AZ042,201105,201305,preInstall
AZ043,201206,201406,preInstall
AZ046,201112,201312,preInstall
AZ047,201210,201410,preInstall
AZ048,201312,201512,preInstall
AZ050,201505,201705,preInstall
CA172,201305,201505,preInstall
CA197,201306,201506,preInstall
CA232,201008,201208,preInstall
CA273,201411,201611,preInstall
CA282,201105,201305,preInstall
CA296,201307,201507,preInstall
CA303,201304,201504,preInstall
CA304,201008,201208,preInstall
CA309,201305,201505,preInstall
CA314,201306,201506,preInstall
CA315,201304,201504,preInstall
CA317,201303,201503,preInstall
CA320,201008,201208,preInstall
CA321,201009,201209,preInstall
CA323,201106,201306,preInstall
CA324,201412,201612,preInstall
CA325,201009,201209,preInstall
CA329,201102,201302,preInstall
CA334,201209,201409,preInstall
CA335,201212,201412,preInstall
CA339,201304,201504,preInstall
CA342,201303,201503,preInstall
CA350,201304,201504,preInstall
CA352,201212,201412,preInstall
CA355,201303,201503,preInstall
CA357,201009,201209,preInstall
CA358,201408,201608,preInstall
CA359,201502,201702,preInstall
CA360,201212,201412,preInstall
CA361,201311,201511,preInstall
CA366,201312,201512,preInstall
CA368,201106,201306,preInstall
CA369,201511,201711,preInstall
CA375,201008,201208,preInstall
CA376,201411,201611,preInstall
CA377,201110,201310,preInstall
CA379,201103,201303,preInstall
CO025,201101,201301,preInstall
CO032,201209,201409,preInstall
CO034,201103,201303,preInstall
CO049,201210,201410,preInstall
CT007,201307,201507,preInstall
CT012,201105,201305,preInstall
CT018,201109,201309,preInstall
CT020,201110,201310,preInstall
CT022,201112,201312,preInstall
CT023,201212,201412,preInstall
CT028,201312,201512,preInstall
CT029,201504,201704,preInstall
CT032,201507,201707,preInstall
CT033,201504,201704,preInstall
CT034,201305,201505,preInstall
CT038,201205,201405,preInstall
DE008,201211,201411,preInstall
FL002,201112,201312,preInstall
FL005,201011,201211,preInstall
FL008,201212,201412,preInstall
FL049,201211,201411,preInstall
FL057,201312,201512,preInstall
FL062,201204,201404,preInstall
FL073,201503,201703,preInstall
FL074,201511,201711,preInstall
FL076,201010,201210,preInstall
FL080,201011,201211,preInstall
FL081,201205,201405,preInstall
FL088,201110,201310,preInstall
FL089,201011,201211,preInstall
FL098,201207,201407,preInstall
FL101,201309,201509,preInstall
FL103,201208,201408,preInstall
FL108,201008,201208,preInstall
FL109,201511,201711,preInstall
FL110,201106,201306,preInstall
FL112,201507,201707,preInstall
FL114,201011,201211,preInstall
FL117,201008,201208,preInstall
FL118,201406,201606,preInstall
FL120,201011,201211,preInstall
FL121,201109,201309,preInstall
FL122,201505,201705,preInstall
FL123,201407,201607,preInstall
FL124,201106,201306,preInstall
FL125,201503,201703,preInstall
FL127,201106,201306,preInstall
FL128,201212,201412,preInstall
FL130,201402,201602,preInstall
FL131,201212,201412,preInstall
FL135,201507,201707,preInstall
FL137,201312,201512,preInstall
FL138,201209,201409,preInstall
FL140,201207,201407,preInstall
FL141,201512,201712,preInstall
GA002,201012,201212,preInstall
GA003,201010,201210,preInstall
GA015,201512,201712,preInstall
GA026,201207,201407,preInstall
GA029,201404,201604,preInstall
GA035,201206,201406,preInstall
GA037,201010,201210,preInstall
GA038,201011,201211,preInstall
GA041,201510,201710,preInstall
GA065,201109,201309,preInstall
